Species,SVSPP,YEAR,MeanCond,StdDevCond,nCond,n
Acadian redfish,155,1992,99.3348273828616,6.567087910281312,272,29
Acadian redfish,155,1993,100.23549999327544,6.450912070585719,326,29
Acadian redfish,155,1994,98.74591800823585,6.761626625524181,305,29
Acadian redfish,155,1995,98.33187615984727,6.710731668425654,320,29
Acadian redfish,155,1996,100.13355180721165,6.743417775135227,402,29
Acadian redfish,155,1997,99.86410246625485,6.325848600679066,485,29
Acadian redfish,155,1998,102.54465984166377,6.186750776364385,412,29
Acadian redfish,155,1999,99.28634186222365,6.60076701561523,449,29
Acadian redfish,155,2000,99.4076026079104,6.2454966673741055,382,29
Acadian redfish,155,2001,97.37432935661762,6.399006744578769,383,29
Acadian redfish,155,2002,96.92008191974716,6.443799556893902,378,29
Acadian redfish,155,2003,96.75371243443382,6.262308221785874,397,29
Acadian redfish,155,2004,97.738825916476,6.402151413153733,615,29
Acadian redfish,155,2005,97.52936824604663,6.544699778818819,454,29
Acadian redfish,155,2006,97.7803938968409,6.64715830540024,609,29
Acadian redfish,155,2007,98.21097416146822,6.488003989591565,576,29
Acadian redfish,155,2008,96.45675748442788,6.137474443539564,1124,29
Acadian redfish,155,2009,97.43583379536771,6.460367728846031,662,29
Acadian redfish,155,2010,97.08348661464375,6.441507567617219,578,29
Acadian redfish,155,2011,97.43087048618209,6.196612122626046,564,29
Acadian redfish,155,2012,97.83121495408675,6.565995201900908,863,29
Acadian redfish,155,2013,98.13964789205627,6.921402688181824,638,29
Acadian redfish,155,2014,98.17143728298872,6.728582835487782,575,29
Acadian redfish,155,2015,98.8763405314062,6.981575123367933,670,29
Acadian redfish,155,2016,97.53716355393188,6.655973403318163,665,29
Acadian redfish,155,2017,97.00080709946214,6.629249866524963,203,29
Acadian redfish,155,2018,97.50573254376307,6.37016504244298,395,29
Acadian redfish,155,2019,97.54077581657477,6.37857094911234,490,29
Acadian redfish,155,NA,97.88392870884249,8.65179871990041,2,29
American plaice,102,1992,100.91768915210838,7.499995791507126,401,28
American plaice,102,1993,103.25845512675745,6.816302258044111,421,28
American plaice,102,1994,101.1629130657657,7.596232178552616,362,28
American plaice,102,1995,99.9117639193272,7.788353570419609,381,28
American plaice,102,1996,100.78737044234263,7.7485255788500815,359,28
American plaice,102,1997,102.59177393117604,7.449198850569749,380,28
American plaice,102,1998,102.09688765714002,7.549163441338534,407,28
American plaice,102,1999,101.38098824555816,7.488438117383495,604,28
American plaice,102,2000,99.70740984655795,7.868647861890945,370,28
American plaice,102,2001,98.96819634141328,7.637373199233684,361,28
American plaice,102,2002,98.07620003178599,7.039245351012084,343,28
American plaice,102,2003,98.31794281746345,7.554954445771064,309,28
American plaice,102,2004,96.81634132398042,7.1585494844225215,244,28
American plaice,102,2005,97.21435148195121,7.618129149101612,321,28
American plaice,102,2006,97.55682999627982,7.504248913671129,451,28
American plaice,102,2007,97.40417453136094,7.665618485212924,420,28
American plaice,102,2008,97.5884301992261,7.771086456457368,845,28
American plaice,102,2009,98.56840500036242,7.928348915916917,517,28
American plaice,102,2010,98.97130217248119,7.848694733267779,480,28
American plaice,102,2011,98.55714505452745,7.543193718655381,525,28
American plaice,102,2012,100.47902655251437,7.378244002133872,544,28
American plaice,102,2013,102.12586719411995,7.553136480747221,448,28
American plaice,102,2014,101.69625115954008,7.7987760734581,486,28
American plaice,102,2015,102.18158814919288,7.165776209934727,870,28
American plaice,102,2016,102.60480452049855,7.131328276993055,662,28
American plaice,102,2017,100.8004645155181,7.732770291297971,267,28
American plaice,102,2018,100.11131974200528,7.2693266979079665,344,28
American plaice,102,2019,98.81160056053268,7.519647552619101,466,28
Atlantic cod,73,1992,99.7973079094698,6.020821174918971,231,29
Atlantic cod,73,1993,99.9467575768185,6.043800352997297,216,29
Atlantic cod,73,1994,99.19439212782714,6.16804903232653,285,29
Atlantic cod,73,1995,99.57699734620778,6.16657404634844,213,29
Atlantic cod,73,1996,99.77562594703015,5.805509663917502,285,29
Atlantic cod,73,1997,100.6681187838541,6.086239216592924,387,29
Atlantic cod,73,1998,99.92881528044714,6.173684832663493,331,29
Atlantic cod,73,1999,100.79297844284848,6.142064044784149,301,29
Atlantic cod,73,2000,98.71932369089397,6.001017489301105,218,29
Atlantic cod,73,2001,98.68136989609152,6.11016536701338,214,29
Atlantic cod,73,2002,100.0200893279439,5.999108377635602,324,29
Atlantic cod,73,2003,99.75329581012946,6.232329853361043,257,29
Atlantic cod,73,2004,97.8324479839736,6.227504113292999,242,29
Atlantic cod,73,2005,97.9827092811116,5.888213792661996,216,29
Atlantic cod,73,2006,98.79179448987539,6.382220631009532,1380,29
Atlantic cod,73,2007,99.07728706251342,6.044141498419407,161,29
Atlantic cod,73,2008,99.37186823129106,6.31510695887751,534,29
Atlantic cod,73,2009,99.5707446066664,6.271762657176205,499,29
Atlantic cod,73,2010,98.74077269839408,5.970635202276903,415,29
Atlantic cod,73,2011,99.00412276428511,6.232225192684296,531,29
Atlantic cod,73,2012,100.13275065157161,6.505254312674057,294,29
Atlantic cod,73,2013,99.46393276884623,5.78282063379813,281,29
Atlantic cod,73,2014,99.56659601826337,6.363263936452895,208,29
Atlantic cod,73,2015,101.2578568837745,6.022673937598124,626,29
Atlantic cod,73,2016,99.04198837183249,6.173494304710249,516,29
Atlantic cod,73,2017,99.80474373039968,6.672725582601949,144,29
Atlantic cod,73,2018,100.69157161454125,5.956250918139093,202,29
Atlantic cod,73,2019,100.44460252335546,5.842212272703129,145,29
Atlantic cod,73,NA,108.38735832752242,NaN,1,29
Atlantic herring,32,1992,93.10264453617744,21.127614014504253,484,28
