Species,EPU,sex,YEAR,MeanCond,nCond,n
Acadian Redfish,SS,M,2004,100.76044059734178,71,27
Acadian Redfish,SS,M,2005,100.89659828854832,27,27
Acadian Redfish,SS,M,2006,100.86498352821714,21,27
Acadian Redfish,SS,M,2007,103.03287000856625,34,27
Acadian Redfish,SS,M,2008,99.21674060401058,64,27
Acadian Redfish,SS,M,2009,100.41092634809435,65,27
Acadian Redfish,SS,M,2010,100.19960710261125,25,27
Acadian Redfish,SS,M,2011,99.72683375200525,19,27
Acadian Redfish,SS,M,2012,101.92348551316506,69,27
Acadian Redfish,SS,M,2013,100.93054532160578,62,27
Acadian Redfish,SS,M,2014,99.7978359605287,40,27
Acadian Redfish,SS,M,2015,102.840194853958,54,27
Acadian Redfish,SS,M,2016,101.50280759920037,51,27
Acadian Redfish,SS,M,2017,104.19549936401368,16,27
Acadian Redfish,SS,M,2018,98.8714122568763,16,27
American Plaice,GB,F,1992,107.9641038182067,10,23
American Plaice,GB,F,1993,108.28168988330187,5,23
American Plaice,GB,F,1994,108.93216507668387,6,23
American Plaice,GB,F,1995,104.00611972833408,9,23
American Plaice,GB,F,1996,105.75026361925434,7,23
American Plaice,GB,F,1997,104.06929656793928,27,23
American Plaice,GB,F,1998,103.923643216861,16,23
American Plaice,GB,F,1999,98.69113050982452,17,23
American Plaice,GB,F,2000,101.7520553942512,19,23
American Plaice,GB,F,2002,96.02774506425189,7,23
American Plaice,GB,F,2003,99.96778473264699,22,23
American Plaice,GB,F,2004,104.37674876261175,5,23
American Plaice,GB,F,2005,95.57393487172857,7,23
American Plaice,GB,F,2006,102.48227902685005,18,23
American Plaice,GB,F,2007,100.71226465898835,12,23
American Plaice,GB,F,2008,104.91834937864796,28,23
American Plaice,GB,F,2009,100.28159164989087,42,23
American Plaice,GB,F,2010,98.62741696442755,12,23
American Plaice,GB,F,2011,104.9125122073467,17,23
American Plaice,GB,F,2012,99.5349873931188,3,23
American Plaice,GB,F,2013,102.22401486831777,3,23
American Plaice,GB,F,2015,100.4750654662663,4,23
American Plaice,GB,F,2016,101.15650324926865,7,23
American Plaice,GB,M,1992,99.9050606319314,3,25
American Plaice,GB,M,1993,102.35177653212767,6,25
American Plaice,GB,M,1994,101.60112954058143,4,25
American Plaice,GB,M,1995,108.92975987982237,7,25
American Plaice,GB,M,1996,106.63862284843545,11,25
American Plaice,GB,M,1997,107.25246498229829,40,25
American Plaice,GB,M,1998,104.96138113797329,28,25
American Plaice,GB,M,1999,106.67652924325184,5,25
American Plaice,GB,M,2000,106.10434915871701,9,25
American Plaice,GB,M,2001,97.17575322616725,6,25
American Plaice,GB,M,2002,103.12605507332387,29,25
American Plaice,GB,M,2003,104.27971146410114,19,25
American Plaice,GB,M,2004,100.3247163412664,6,25
American Plaice,GB,M,2005,101.59764290249755,6,25
American Plaice,GB,M,2006,106.21669932297706,22,25
American Plaice,GB,M,2007,106.29378125208677,15,25
American Plaice,GB,M,2008,105.18397794604093,39,25
American Plaice,GB,M,2009,101.77056211838477,34,25
American Plaice,GB,M,2010,100.39507027832211,17,25
American Plaice,GB,M,2011,103.95954678901234,11,25
American Plaice,GB,M,2012,92.77810380652485,6,25
American Plaice,GB,M,2013,101.61657911189283,6,25
American Plaice,GB,M,2014,103.90485802311593,6,25
American Plaice,GB,M,2015,101.43625476724567,13,25
American Plaice,GB,M,2016,101.67657262953034,11,25
American Plaice,GOM,F,1992,99.59251835273047,170,27
American Plaice,GOM,F,1993,102.50099722634266,204,27
American Plaice,GOM,F,1994,101.24143646543621,149,27
American Plaice,GOM,F,1995,99.13699582596149,184,27
American Plaice,GOM,F,1996,99.90869124047943,203,27
American Plaice,GOM,F,1997,101.46954065357222,164,27
American Plaice,GOM,F,1998,101.32100378214382,211,27
American Plaice,GOM,F,1999,100.89891714657678,268,27
American Plaice,GOM,F,2000,98.3539173836638,195,27
American Plaice,GOM,F,2001,97.91935697107259,194,27
American Plaice,GOM,F,2002,96.7717278044727,149,27
American Plaice,GOM,F,2003,97.21657487768135,153,27
American Plaice,GOM,F,2004,95.37761030083003,134,27
American Plaice,GOM,F,2005,95.96087941804755,168,27
American Plaice,GOM,F,2006,96.22301002755187,212,27
